Date,Open,High,Low,Close,% Change IBEX
12/04/2010,11468,11566.09961,11210.5,11259.7002,-1.18
19/04/2010,11155.5,11337.29981,10753.40039,10918.2002,-3.03
26/04/2010,11042.7002,11092.59961,10077.90039,10492.2002,-3.90
03/05/2010,10426.2002,10452.2002,8925.900391,9046.099609,-13.78
10/05/2010,9059.200195,10351.90039,9058.599609,9314.700195,2.97
17/05/2010,9224.299805,9716.799805,9005.900391,9407.299805,0.99
24/05/2010,9514.799805,9552.299805,8812.099609,9425.5,0.19
31/05/2010,9346.099609,9488.799805,8881.700195,8923.400391,-5.33
07/06/2010,8825.200195,9648.700195,8563.599609,9561.700195,7.15
14/06/2010,9662,10051.79981,9414,9971.799805,4.29
21/06/2010,10127.7002,10209.5,9451.5,9535,-4.38
28/06/2010,9612.400391,9705.200195,8977.700195,9250.799805,-2.98
05/07/2010,9247.299805,10185.5,9202,10127.29981,9.47
12/07/2010,10145.40039,10318.7002,9913.299805,9991.700195,-1.34
19/07/2010,9961.299805,10417.29981,9804.900391,10388.2002,3.97
26/07/2010,10476.7002,10788,10331,10499.79981,1.07
02/08/2010,10535.40039,10953.09961,10489.79981,10651.09961,1.44
09/08/2010,10802.79981,10831.2002,10201.59961,10275.79981,-3.52
16/08/2010,10284.5,10538.2002,10018.7002,10094.29981,-1.77
23/08/2010,10117.09961,10306.2002,9773.799805,10148.2002,0.53
30/08/2010,10201.5,10708.79981,9964.200195,10599.40039,4.45
06/09/2010,10678.79981,10773.59961,10410.29981,10689.59961,0.85
13/09/2010,10775.7002,10846.5,10544.40039,10588.59961,-0.94
20/09/2010,10622.09961,10902.5,10401.79981,10727.59961,1.31
27/09/2010,10732,10767.29981,10378.79981,10450.09961,-2.59
04/10/2010,10449.2002,10830.2002,10310.2002,10720.79981,2.59
11/10/2010,10723.79981,10982.09961,10529.7002,10868.2002,1.37
18/10/2010,10820.09961,11021.59961,10751.2002,10924.79981,0.52
25/10/2010,10986,10988.40039,10657.29981,10812.90039,-1.02
01/11/2010,10901.79981,10903.40039,10369.90039,10428.09961,-3.56
08/11/2010,10335,10448.59961,9891,10226.79981,-1.93
15/11/2010,10165.5,10377.79981,10074,10271.7002,0.44
22/11/2010,10388.79981,10393.40039,9442.599609,9547.200195,-7.05
29/11/2010,9587,10037.40039,9203.400391,10014.79981,4.90
06/12/2010,10015.90039,10230.29981,9826.299805,10121.90039,1.07
13/12/2010,10165.79981,10219.7002,9850.099609,9898.099609,-2.21
20/12/2010,9915.599609,10253.90039,9851.099609,10106.90039,2.11
27/12/2010,10077.59961,10092.90039,9854,9859.099609,-2.45
03/01/2011,9899.400391,9993.599609,9497.799805,9560.700195,-3.03
10/01/2011,9488.299805,10423,9387.900391,10385.09961,8.62
17/01/2011,10328.29981,10937.59961,10245.5,10829.09961,4.28
24/01/2011,10852.2002,10961.09961,10579.90039,10747,-0.76
31/01/2011,10738.2002,11044.29981,10603.40039,10854.7002,1.00
07/02/2011,10854.29981,11053.90039,10656.40039,10803.59961,-0.47
14/02/2011,10847.59961,11165,10719.2002,11068.09961,2.45
21/02/2011,11049.29981,11050.29981,10543.29981,10822.7002,-2.22
28/02/2011,10829.90039,10939.7002,10463.79981,10498.7002,-2.99
07/03/2011,10478.09961,10623.90039,10313.59961,10398.40039,-0.96
14/03/2011,10386.2002,10637.7002,10076.5,10328.40039,-0.67
21/03/2011,10473.7002,10801.09961,10418.90039,10710.40039,3.70
28/03/2011,10721.7002,10830.40039,10570.90039,10729.90039,0.18
04/04/2011,10710.2002,10950.09961,10624.59961,10913.2002,1.71
11/04/2011,10896.2002,10958.2002,10484.7002,10558.59961,-3.25
18/04/2011,10574.79981,10634.09961,10289.09961,10584.09961,0.24
25/04/2011,10574.90039,10911.29981,10546.90039,10878.90039,2.79
02/05/2011,10917.40039,10928.2002,10481.59961,10610.5,-2.47
09/05/2011,10546.90039,10590.29981,10321.79981,10356.5,-2.39
16/05/2011,10280.2002,10449.90039,10190.90039,10226.59961,-1.25
23/05/2011,10110.5,10365.79981,10030.59961,10261.2002,0.34
30/05/2011,10239.2002,10549,10133,10285.7002,0.24
