Date,Open,High,Low,Close,% Change HS
12/10/2015,22614.33008,23178.14063,22356.56055,23067.36914,2.71
19/10/2015,23085.60938,23220.38086,22727.58984,23151.93945,0.37
26/10/2015,23423.64063,23423.64063,22612.56055,22640.03906,-2.21
02/11/2015,22502.2793,23342.07031,22332.71094,22867.33008,1.00
09/11/2015,22753.50977,22980.9707,22318.61914,22396.14063,-2.06
16/11/2015,21958.2793,22790.07031,21958.2793,22754.7207,1.60
23/11/2015,22760.05078,22802.71094,22051.00977,22068.32031,-3.02
30/11/2015,21974.81055,22563.4707,21907.34961,22235.89063,0.76
07/12/2015,22336.32031,22352.25,21440.69922,21464.05078,-3.47
14/12/2015,21063.2793,22005.18945,21010.25977,21755.56055,1.36
21/12/2015,21641.16992,22217.44922,21641.16992,22138.13086,1.76
28/12/2015,22151.73047,22151.73047,21864.11914,21914.40039,-1.01
04/01/2016,21782.61914,21794.83984,20323.9707,20453.71094,-6.67
11/01/2016,19997.41992,20234.7793,19500.38086,19520.76953,-4.56
18/01/2016,19287.38086,19647.75,18534.30078,19080.50977,-2.26
25/01/2016,19341.41016,19709.99023,18811.83008,19683.10938,3.16
01/02/2016,19770.96094,19770.96094,18764.82031,19288.16992,-2.01
08/02/2016,18486.92969,18627.50977,18278.80078,18319.58008,-5.02
15/02/2016,18668.86914,19436.39063,18668.86914,19285.5,5.27
22/02/2016,19374.24023,19524.9707,18867.69922,19364.15039,0.41
29/02/2016,19366.16992,20200.38086,19053.7793,20176.69922,4.20
07/03/2016,20306.08984,20331.68945,19818.41992,20199.59961,0.11
14/03/2016,20371.58984,20687.9707,20168.74023,20671.63086,2.34
21/03/2016,20738.25,20772.46094,20268.5293,20345.60938,-1.58
28/03/2016,20386.32031,20872.55078,20250.15039,20498.91992,0.75
04/04/2016,20786.17969,20786.17969,20045.4707,20370.40039,-0.63
11/04/2016,20255.83984,21511.08008,20240.68945,21316.4707,4.64
18/04/2016,21129.67969,21634.74023,21002.76953,21467.03906,0.71
25/04/2016,21408.56055,21654.07031,21023.76953,21067.05078,-1.86
02/05/2016,21061.76953,21061.76953,20058.76953,20109.86914,-4.54
09/05/2016,20279.90039,20347.75977,19594.60938,19719.28906,-1.94
16/05/2016,19711.76953,20145.76953,19631.71094,19852.19922,0.67
23/05/2016,19788.13086,20620.15039,19712.66992,20576.76953,3.65
30/05/2016,20523.66992,21049.19922,20465.83984,20947.24023,1.80
06/06/2016,20971.13086,21352.36914,20840.94922,21042.64063,0.46
13/06/2016,20647.50977,20664.58984,19964.36914,20169.98047,-4.15
20/06/2016,20425.06055,21034.17969,19662.69922,20259.13086,0.44
27/06/2016,19982.66016,20828.0293,19898.75,20794.36914,2.64
04/07/2016,20967.4707,21166.01953,20304.39063,20564.16992,-1.11
11/07/2016,20951.16992,21739.21094,20840,21659.25,5.33
18/07/2016,21656.88086,22118.2207,21612.59961,21964.26953,1.41
25/07/2016,22071.76953,22300.50977,21830.46094,21891.36914,-0.33
01/08/2016,22027.65039,22260.94922,21725.38086,22146.08984,1.16
08/08/2016,22324.17969,22816.75,22260.07031,22766.91016,2.80
15/08/2016,22765.23047,23193.90039,22765.23047,22937.2207,0.75
22/08/2016,22941.5293,23036.07031,22702.60938,22909.53906,-0.12
29/08/2016,22904.19922,23306.48047,22762.73047,23266.69922,1.56
05/09/2016,23576.31055,24364,23530.35938,24099.69922,3.58
12/09/2016,23596.0293,23652.41016,23155.73047,23335.58984,-3.17
19/09/2016,23486.61914,24058.65039,23394.94922,23686.48047,1.50
26/09/2016,23554.83008,23828.59961,23239.35938,23297.15039,-1.64
03/10/2016,23652.83008,24004.08984,23500.71094,23851.82031,2.38
10/10/2016,24013.83984,24064.5,23006.11914,23233.31055,-2.59
17/10/2016,23164.53906,23500.82031,22978.00977,23374.40039,0.61
24/10/2016,23431.63086,23631.33984,22847.73047,22954.81055,-1.80
31/10/2016,22845.82031,23268.05078,22587.58984,22642.61914,-1.36
07/11/2016,22682.71094,23048.32031,21957.71094,22531.08984,-0.49
14/11/2016,22344.23047,22499.39063,22114.01953,22344.21094,-0.83
21/11/2016,22313.03906,22804.25977,22227.80078,22723.44922,1.70
28/11/2016,22738.93945,23012.2793,22559.19922,22564.82031,-0.70
05/12/2016,22580.75,23076.24023,22375.2793,22760.98047,0.87
12/12/2016,22860.26953,22863.60938,21965.67969,22020.75,-3.25
19/12/2016,21945.83984,21955.93945,21491.83008,21574.75977,-2.03
26/12/2016,21562.69922,22069.61914,21488.82031,22000.56055,1.97
02/01/2017,21993.35938,22605.66016,21883.82031,22503.00977,2.28
09/01/2017,22561.10938,22971.49023,22476.34961,22937.38086,1.93
16/01/2017,22895.35938,23151.75,22657.34961,22885.91016,-0.22
23/01/2017,22926.30078,23397.08984,22861.28906,23360.7793,2.07
30/01/2017,23211.88086,23439.01953,22997.46094,23129.21094,-0.99
06/02/2017,23239.28906,23718.4707,23149.69922,23574.98047,1.93
13/02/2017,23664.5293,24161.39063,23614.4707,24033.74023,1.95
20/02/2017,24066,24216.5293,23909.15039,23965.69922,-0.28
27/02/2017,23941.81055,24080.86914,23511.59961,23552.7207,-1.72
