Date,Open,High,Low,Close,Volume
22/2/2012,1.2408,1.2461,1.239,1.241,0
23/2/2012,1.2461,1.24799,1.2408,1.2464,0
24/2/2012,1.2464,1.2564,1.2437,1.2462,0
27/2/2012,1.2592,1.2614,1.2479,1.2593,0
28/2/2012,1.246,1.24985,1.2448,1.246,0
29/2/2012,1.2476,1.24866,1.2369,1.2478,0
1/3/2012,1.24,1.24261,1.2341,1.2401,0
2/3/2012,1.2322,1.23421,1.226,1.232,0
5/3/2012,1.2295,1.24018,1.2293,1.22963,0
6/3/2012,1.2386,1.244,1.2368,1.2384,0
7/3/2012,1.2414,1.2483,1.241,1.2418,0
8/3/2012,1.24358,1.2506,1.2389,1.2433,0
9/3/2012,1.2464,1.2489,1.2348,1.2465,0
12/3/2012,1.2417,1.2524,1.2416,1.2419,0
13/3/2012,1.2503,1.2516,1.2423,1.2499,0
14/3/2012,1.2405,1.2482,1.2385,1.2401,0
15/3/2012,1.2468,1.2485,1.2405,1.2471,0
16/3/2012,1.243,1.24515,1.239,1.2431,0
19/3/2012,1.24289,1.2494,1.2401,1.2426,0
20/3/2012,1.2481,1.26292,1.2459,1.2477,0
21/3/2012,1.2622,1.2685,1.2608,1.2623,0
22/3/2012,1.26358,1.2737,1.2629,1.2633,0
23/3/2012,1.2695,1.2752,1.268,1.2695,0
26/3/2012,1.26667,1.2702,1.2621,1.2661,0
27/3/2012,1.2683,1.2722,1.2658,1.2685,0
28/3/2012,1.2759,1.2833,1.2759,1.2759,0
29/3/2012,1.2819,1.2868,1.2811,1.282,0
30/3/2012,1.2831,1.288,1.2817,1.2828,0
