Date,Open,High,Low,Close,% Change FTSE
14/11/2011,5545.399902,5575.200195,5347.899902,5362.899902,-3.29
21/11/2011,5362.899902,5362.899902,5075.200195,5164.700195,-3.70
28/11/2011,5164.700195,5595.5,5164.700195,5552.299805,7.50
05/12/2011,5552.299805,5631.899902,5440.899902,5529.200195,-0.42
12/12/2011,5529.200195,5529.200195,5366.799805,5387.299805,-2.57
19/12/2011,5387.299805,5516.600098,5328.700195,5512.700195,2.33
26/12/2011,5512.700195,5588.399902,5491,5572.299805,1.08
02/01/2012,5572.299805,5719.799805,5572.299805,5649.700195,1.39
09/01/2012,5649.700195,5711.899902,5583.5,5636.600098,-0.23
16/01/2012,5636.600098,5749.799805,5609.899902,5728.600098,1.63
23/01/2012,5728.600098,5806.200195,5694.100098,5733.5,0.09
30/01/2012,5733.5,5901.100098,5651.600098,5901.100098,2.92
06/02/2012,5901.100098,5916.299805,5839.899902,5852.399902,-0.83
13/02/2012,5852.399902,5923.799805,5829.399902,5905.100098,0.90
20/02/2012,5905.100098,5964,5894.600098,5935.100098,0.51
27/02/2012,5935.100098,5944.799805,5858.899902,5911.100098,-0.40
05/03/2012,5911.100098,5911.100098,5755.700195,5887.5,-0.40
12/03/2012,5887.5,5989.100098,5860.399902,5965.600098,1.33
19/03/2012,5965.600098,5968.899902,5801.700195,5854.899902,-1.86
26/03/2012,5854.899902,5941.899902,5726.5,5768.5,-1.48
02/04/2012,5768.5,5890.200195,5663.299805,5723.700195,-0.78
09/04/2012,5723.700195,5727.899902,5576.399902,5651.799805,-1.26
16/04/2012,5651.799805,5792.100098,5641.100098,5772.200195,2.13
23/04/2012,5772.200195,5789,5637.700195,5777.100098,0.08
30/04/2012,5777.100098,5819.899902,5639.799805,5655.100098,-2.11
07/05/2012,5655.100098,5668.100098,5464.399902,5575.5,-1.41
14/05/2012,5575.5,5575.700195,5256.600098,5267.600098,-5.52
21/05/2012,5267.600098,5408.700195,5253.899902,5351.5,1.59
28/05/2012,5351.5,5413.799805,5229.799805,5260.200195,-1.71
04/06/2012,5260.200195,5494.5,5260.200195,5435.100098,3.32
11/06/2012,5435.100098,5536.299805,5414.600098,5478.799805,0.80
18/06/2012,5478.799805,5623.899902,5461.100098,5513.700195,0.64
25/06/2012,5513.700195,5619.700195,5435.5,5571.200195,1.04
02/07/2012,5571.200195,5727.5,5571.200195,5662.600098,1.64
09/07/2012,5662.600098,5688.700195,5588.799805,5666.100098,0.06
16/07/2012,5666.100098,5718.600098,5621.200195,5651.799805,-0.25
23/07/2012,5651.799805,5651.799805,5478,5627.200195,-0.44
30/07/2012,5627.200195,5794,5625.700195,5787.299805,2.85
06/08/2012,5787.299805,5860.200195,5767.100098,5847.100098,1.03
13/08/2012,5847.100098,5876.200195,5811.299805,5852.399902,0.09
20/08/2012,5852.399902,5872.600098,5739.399902,5776.600098,-1.30
27/08/2012,5776.600098,5779.5,5705.700195,5711.5,-1.13
03/09/2012,5711.5,5807.600098,5634.899902,5794.799805,1.46
10/09/2012,5794.799805,5932.600098,5757.600098,5915.600098,2.08
17/09/2012,5915.600098,5915.700195,5824.399902,5852.600098,-1.06
24/09/2012,5852.600098,5869.200195,5740.5,5742.100098,-1.89
01/10/2012,5742.100098,5885.600098,5738.600098,5871,2.24
08/10/2012,5871,5871,5766.700195,5793.299805,-1.32
15/10/2012,5793.299805,5928.299805,5786,5896.200195,1.78
22/10/2012,5896.200195,5911,5753.299805,5806.700195,-1.52
29/10/2012,5806.700195,5890.100098,5763.5,5868.600098,1.07
05/11/2012,5868.600098,5921.799805,5715.200195,5769.700195,-1.69
12/11/2012,5769.700195,5795.299805,5605.600098,5605.600098,-2.84
19/11/2012,5605.600098,5830.5,5605.600098,5819.100098,3.81
26/11/2012,5819.100098,5904.399902,5755.200195,5866.799805,0.82
03/12/2012,5866.799805,5923.899902,5852.899902,5914.399902,0.81
10/12/2012,5914.399902,5948.5,5891.299805,5921.799805,0.13
17/12/2012,5921.799805,5977.799805,5881,5940,0.31
24/12/2012,5940,5997,5915.299805,5925.399902,-0.25
