Date,Open,High,Low,Close,% Change AEX
02/05/2011,362.26001,363.309998,353.109985,359.119995,-0.23
09/05/2011,358.119995,363.109985,354.339996,354.859985,-1.19
16/05/2011,352.440002,353.190002,346.459991,348.23999,-1.87
23/05/2011,344.619995,348.329987,340.329987,346.059998,-0.63
30/05/2011,345.769989,351.100006,337.350006,340.23999,-1.68
06/06/2011,339.019989,341.160004,333.079987,333.829987,-1.88
13/06/2011,334.040009,338.269989,329,333.109985,-0.22
20/06/2011,329.049988,336.160004,326.859985,328.73999,-1.31
27/06/2011,327.679993,343.369995,326.970001,342.820007,4.28
04/07/2011,342.76001,347.01001,340.440002,342.480011,-0.1
11/07/2011,340.279999,340.940002,327.720001,329.48999,-3.79
18/07/2011,327.410004,340.209991,323.059998,338.600006,2.76
25/07/2011,336.410004,339.01001,326.589996,329.220001,-2.77
01/08/2011,333.630005,333.730011,292.630005,296.350006,-9.98
08/08/2011,291.529999,298.23999,265.850006,291.899994,-1.5
15/08/2011,294.299988,295.940002,268.73999,274.149994,-6.08
22/08/2011,271.720001,284.589996,269.859985,276.600006,0.89
29/08/2011,280.899994,295.809998,278.309998,286.429993,3.55
05/09/2011,280,284.279999,270.350006,276.100006,-3.61
12/09/2011,269.429993,284.149994,263.950012,281.730011,2.04
19/09/2011,275.600006,279.839996,256.359985,264.720001,-6.04
26/09/2011,260.200012,285.070007,260.200012,280.179993,5.84
03/10/2011,273.51001,290.23999,266.130005,288.309998,2.9
10/10/2011,289.920013,305.059998,287.709991,302.410004,4.89
17/10/2011,305.220001,307.519989,294.480011,305.700012,1.09
24/10/2011,307.26001,318.179993,301.649994,313.01001,2.39
31/10/2011,310.359985,311.959991,292.51001,301.970001,-3.53
07/11/2011,299.769989,308.190002,289.059998,300.980011,-0.33
14/11/2011,302.320007,302.720001,287.429993,288.01001,-4.31
21/11/2011,286.670013,286.670013,268.73999,274.369995,-4.74
28/11/2011,276.709991,303.820007,276.709991,300.769989,9.62
05/12/2011,303.5,309.130005,297.309998,304.579987,1.27
12/12/2011,302.869995,303.079987,292.109985,294.029999,-3.46
19/12/2011,291.799988,308.200012,291.350006,307.790009,4.68
26/12/2011,308.070007,312.470001,305.359985,312.470001,1.52
02/01/2012,312.450012,318.200012,309.679993,311.109985,-0.44
09/01/2012,311.290009,317.130005,305.549988,309.279999,-0.59
16/01/2012,307.910004,321.220001,307.320007,320.309998,3.57
23/01/2012,320.690002,323.829987,317.600006,319.359985,-0.3
30/01/2012,316.76001,326.329987,314.369995,326.329987,2.18
06/02/2012,325.959991,327.970001,319.609985,320.089996,-1.91
13/02/2012,322.109985,330.100006,319.769989,327.929993,2.45
20/02/2012,328.910004,333.079987,324.119995,324.910004,-0.92
27/02/2012,323.73999,328.869995,321.209991,327.850006,0.9
05/03/2012,326.730011,327.820007,316.670013,326.029999,-0.56
12/03/2012,325.529999,337.200012,324.660004,336.170013,3.11
19/03/2012,336.149994,336.410004,323.859985,326.190002,-2.97
26/03/2012,327.700012,332.440002,320.179993,323.51001,-0.82
02/04/2012,324.209991,327.230011,310.880005,314.910004,-2.66
09/04/2012,311.890015,312.26001,304.040009,306.119995,-2.79
16/04/2012,305.100006,313.459991,304.369995,309.200012,1.01
23/04/2012,306.559998,312.420013,299.920013,310.75,0.5
30/04/2012,311.869995,312.299988,300.549988,300.950012,-3.15
07/05/2012,295.600006,306.01001,295.369995,305.279999,1.44
14/05/2012,302.220001,302.25,286.890015,288.769989,-5.41
21/05/2012,287.929993,296.769989,287.570007,292.76001,1.38
28/05/2012,294.920013,296.769989,281.029999,283.769989,-3.07
04/06/2012,281.25,295.399994,281,291.730011,2.81
11/06/2012,297.149994,297.730011,288.899994,297.579987,2.01
18/06/2012,301.200012,304.700012,295.959991,298.76001,0.4
25/06/2012,297.230011,307.809998,292.980011,307.309998,2.86
02/07/2012,307.410004,316.220001,306.470001,309.839996,0.82
09/07/2012,309.609985,315.190002,307.75,314.600006,1.54
16/07/2012,314.450012,322.730011,313.98999,319.75,1.64
23/07/2012,316.839996,323.470001,311.130005,323.309998,1.11
30/07/2012,324.959991,331.420013,321.769989,330.429993,2.2
06/08/2012,330.130005,334.929993,328.149994,333.5,0.93
13/08/2012,333.01001,336.609985,330.100006,335.769989,0.68
20/08/2012,335.480011,336.690002,327.209991,329.640015,-1.83
27/08/2012,329.329987,332.850006,326.859985,329.279999,-0.11
03/09/2012,328.570007,340.220001,327.209991,337.570007,2.52
10/09/2012,336.329987,340.070007,332.880005,338.279999,0.21
17/09/2012,336.690002,338.059998,332.519989,334.149994,-1.22
24/09/2012,332.279999,335.059998,323.179993,323.179993,-3.28
01/10/2012,322.190002,332.899994,321.829987,332.529999,2.89
08/10/2012,330.390015,330.700012,325.350006,327.950012,-1.38
15/10/2012,327.600006,335.839996,327.600006,334.170013,1.9
22/10/2012,334.089996,336.540009,325.339996,329.450012,-1.41
29/10/2012,328.540009,338.549988,326.940002,337.600006,2.47
05/11/2012,335.75,339.429993,328.619995,331.929993,-1.68
12/11/2012,332.049988,334.339996,319.75,319.839996,-3.64
19/11/2012,321.630005,331.5,320.829987,331.5,3.65
26/11/2012,329.619995,339.459991,329.619995,336.549988,1.52
03/12/2012,337.170013,343.630005,336.630005,342.609985,1.8
10/12/2012,341.369995,345.350006,340.480011,344.390015,0.52
17/12/2012,343.839996,346.859985,342.369995,344.119995,-0.08
24/12/2012,344.01001,346.070007,341.670013,342,-0.62
31/12/2012,340.309998,351.799988,339.5,351.730011,2.85
07/01/2013,351.75,352.329987,348.839996,350.130005,-0.45
14/01/2013,351.709991,352.609985,346.049988,350.890015,0.22
21/01/2013,351.839996,356.209991,351.339996,355.73999,1.38
28/01/2013,356.450012,358.920013,354,355.549988,-0.05
04/02/2013,356.029999,356.230011,343.660004,345.130005,-2.93
