Date,Open,High,Low,Close,% Change ISEQ
11/02/2013,3606.23999,3701.199951,3578.820068,3663.570068,1.59
18/02/2013,3663.570068,3701.909912,3621.330078,3694.469971,0.84
25/02/2013,3694.469971,3773.419922,3682.27002,3762.199951,1.83
04/03/2013,3762.199951,3885.679932,3745.320068,3825.399902,1.68
11/03/2013,3825.399902,3925.590088,3825.399902,3848.899902,0.61
18/03/2013,3848.899902,3993.48999,3848.899902,3925.540039,1.99
25/03/2013,3925.540039,3982.919922,3907.959961,3958.27002,0.83
01/04/2013,3958.27002,4009.590088,3761.070068,3808.570068,-3.78
08/04/2013,3808.570068,3927.389893,3796.669922,3879.820068,1.87
15/04/2013,3879.820068,3887.800049,3785.139893,3810.98999,-1.77
22/04/2013,3810.98999,3938.169922,3810.98999,3861.350098,1.32
29/04/2013,3861.350098,3940.820068,3835.5,3940.820068,2.06
06/05/2013,3940.820068,4001.300049,3923.590088,3964.790039,0.61
13/05/2013,3964.790039,4025.02002,3944.550049,4004.570068,1.00
20/05/2013,4004.570068,4080.649902,4004.570068,4045.909912,1.03
27/05/2013,4045.909912,4118.680176,4002.550049,4012.899902,-0.82
03/06/2013,4012.899902,4062.149902,3928.300049,3981.840088,-0.77
10/06/2013,3981.840088,4008.800049,3836.189941,3915.540039,-1.67
17/06/2013,3915.540039,3964.5,3884.01001,3884.01001,-0.81
24/06/2013,3884.01001,3999.659912,3784,3963.330078,2.04
01/07/2013,3963.330078,4077.100098,3946.419922,4001.02002,0.95
08/07/2013,4001.02002,4074.02002,4001.02002,4054.790039,1.34
15/07/2013,4054.790039,4097.549805,3976.26001,4080.939941,0.64
22/07/2013,4080.939941,4134.589844,4045.52002,4079.659912,-0.03
29/07/2013,4079.659912,4203.390137,4065.100098,4203.120117,3.03
05/08/2013,4203.120117,4281.410156,4173.439941,4266.47998,1.51
12/08/2013,4266.47998,4285.009766,4152.189941,4180.419922,-2.02
19/08/2013,4180.419922,4235.569824,4123.549805,4225.290039,1.07
26/08/2013,4225.290039,4239.870117,4082.780029,4190.169922,-0.83
02/09/2013,4190.169922,4254.279785,4104.069824,4225.379883,0.84
09/09/2013,4225.379883,4298.279785,4209.410156,4209.410156,-0.38
16/09/2013,4209.410156,4332.049805,4209.410156,4266.259766,1.35
23/09/2013,4266.259766,4294.640137,4228.669922,4240.759766,-0.60
30/09/2013,4240.759766,4299.419922,4218.009766,4278.350098,0.89
07/10/2013,4278.350098,4287.390137,4186.600098,4253.680176,-0.58
14/10/2013,4253.680176,4394.149902,4242.069824,4392.399902,3.26
21/10/2013,4392.399902,4414.370117,4328.779785,4331.609863,-1.38
28/10/2013,4331.609863,4422.569824,4305.459961,4392.430176,1.40
04/11/2013,4392.430176,4488.200195,4337.709961,4437.089844,1.02
11/11/2013,4437.089844,4527.830078,4434.310059,4479.5,0.96
18/11/2013,4479.049805,4479.049805,4404.220215,4441.959961,-0.84
25/11/2013,4441.959961,4526.129883,4441.959961,4509.919922,1.53
02/12/2013,4509.919922,4519.839844,4347.109863,4388.370117,-2.70
09/12/2013,4388.370117,4425.220215,4321.649902,4335.600098,-1.20
16/12/2013,4335.600098,4499.259766,4325.439941,4492.899902,3.63
23/12/2013,4492.899902,4548.899902,4467.930176,4548.899902,1.25
30/12/2013,4548.899902,4598.72998,4512.180176,4585.25,0.80
06/01/2014,4585.25,4782.410156,4563.319824,4735.009766,3.27
13/01/2014,4735.009766,4835.560059,4735.009766,4831.180176,2.03
20/01/2014,4831.180176,4873.52002,4711.910156,4716.72998,-2.37
27/01/2014,4716.72998,4794.77002,4619.439941,4652.299805,-1.37
03/02/2014,4652.299805,4832.310059,4612.959961,4829.77002,3.81
10/02/2014,4829.77002,4941.040039,4799.72998,4929.879883,2.07
17/02/2014,4929.879883,5004.850098,4929.169922,5004.850098,1.52
24/02/2014,5004.850098,5195.970215,4994.810059,5195.970215,3.82
03/03/2014,5195.970215,5195.970215,5050.220215,5051.560059,-2.78
10/03/2014,5051.560059,5089.990234,4856.169922,4875.370117,-3.49
17/03/2014,4875.370117,4969.72998,4845.75,4914.870117,0.81
24/03/2014,4914.870117,5005.149902,4831.540039,4990.990234,1.55
31/03/2014,4990.990234,5138.509766,4968.830078,5116.330078,2.51
07/04/2014,5116.330078,5121.569824,4900,4939.370117,-3.46
14/04/2014,4939.370117,4957.779785,4841.890137,4906.779785,-0.66
21/04/2014,4906.779785,5004.97998,4870.649902,4876.649902,-0.61
28/04/2014,4876.649902,4943.220215,4835.430176,4927.330078,1.04
05/05/2014,4927.330078,4959.790039,4845.560059,4877.560059,-1.01
12/05/2014,4877.560059,4916.600098,4597.129883,4654.089844,-4.58
19/05/2014,4654.089844,4856.450195,4654.089844,4836.379883,3.92
26/05/2014,4836.379883,4940.939941,4836.379883,4898.77002,1.29
02/06/2014,4898.77002,5024.589844,4889.390137,5012.399902,2.32
09/06/2014,5012.399902,5036.720215,4871.140137,4897.140137,-2.30
16/06/2014,4897.140137,4897.140137,4790.839844,4812.919922,-1.72
23/06/2014,4812.919922,4842.560059,4686.089844,4723.970215,-1.85
30/06/2014,4723.970215,4847.430176,4688.990234,4806.410156,1.75
07/07/2014,4806.410156,4825.040039,4630.25,4657.140137,-3.11
14/07/2014,4657.140137,4780.740234,4657.140137,4700.709961,0.94
21/07/2014,4700.709961,4756.259766,4667.75,4716.870117,0.34
28/07/2014,4716.870117,4774.899902,4600.27002,4614.850098,-2.16
04/08/2014,4614.850098,4648.310059,4497.22998,4530.970215,-1.82
11/08/2014,4530.970215,4714.140137,4530.970215,4672.589844,3.13
18/08/2014,4672.589844,4734.990234,4656.759766,4692.02002,0.42
